"获取实时拥堵指数内容"
"index：1.26"
"last_index：1.37"
"week_rate：-0.08"
"max_congest_day：20191008"
"max_week_day：2"
"max_index：1.97"
"获取实时拥堵指数变化内容"
"0{'index': '1.33', 'speed': '34.16', 'time': '10:35'}"
"177{'index': '1.05', 'speed': '43.50', 'time': '01:20'}"
"178{'index': '1.05', 'speed': '43.38', 'time': '01:25'}"
"179{'index': '1.05', 'speed': '43.53', 'time': '01:30'}"
"180{'index': '1.04', 'speed': '43.81', 'time': '01:35'}"
"181{'index': '1.04', 'speed': '43.83', 'time': '01:40'}"
"182{'index': '1.05', 'speed': '43.50', 'time': '01:45'}"
"183{'index': '1.04', 'speed': '43.80', 'time': '01:50'}"
"184{'index': '1.04', 'speed': '44.02', 'time': '01:55'}"
"185{'index': '1.04', 'speed': '44.02', 'time': '02:00'}"
"186{'index': '1.03', 'speed': '44.12', 'time': '02:05'}"
"187{'index': '1.02', 'speed': '44.54', 'time': '02:10'}"
"188{'index': '1.03', 'speed': '44.16', 'time': '02:15'}"
"189{'index': '1.05', 'speed': '43.27', 'time': '02:20'}"
"190{'index': '1.04', 'speed': '43.74', 'time': '02:25'}"
"191{'index': '1.04', 'speed': '43.83', 'time': '02:30'}"
"192{'index': '1.04', 'speed': '43.70', 'time': '02:35'}"
"193{'index': '1.04', 'speed': '43.70', 'time': '02:40'}"
"194{'index': '1.04', 'speed': '43.87', 'time': '02:45'}"
"195{'index': '1.03', 'speed': '44.19', 'time': '02:50'}"
"196{'index': '1.03', 'speed': '44.47', 'time': '02:55'}"
"197{'index': '0.99', 'speed': '46.07', 'time': '03:00'}"
"198{'index': '1.01', 'speed': '45.21', 'time': '03:05'}"
"199{'index': '1.03', 'speed': '44.41', 'time': '03:10'}"
"200{'index': '1.03', 'speed': '44.26', 'time': '03:15'}"
"201{'index': '1.02', 'speed': '44.49', 'time': '03:20'}"
"202{'index': '1.01', 'speed': '45.13', 'time': '03:25'}"
"203{'index': '1.00', 'speed': '45.54', 'time': '03:30'}"
"204{'index': '0.99', 'speed': '45.88', 'time': '03:35'}"
"205{'index': '1.00', 'speed': '45.49', 'time': '03:40'}"
"206{'index': '1.00', 'speed': '45.45', 'time': '03:45'}"
"207{'index': '1.00', 'speed': '45.40', 'time': '03:50'}"
"208{'index': '1.02', 'speed': '44.77', 'time': '03:55'}"
"209{'index': '0.99', 'speed': '46.04', 'time': '04:00'}"
"210{'index': '0.99', 'speed': '46.01', 'time': '04:05'}"
"211{'index': '0.98', 'speed': '46.51', 'time': '04:10'}"
"212{'index': '0.97', 'speed': '46.89', 'time': '04:15'}"
"213{'index': '0.97', 'speed': '46.90', 'time': '04:20'}"
"214{'index': '0.98', 'speed': '46.69', 'time': '04:25'}"
"215{'index': '0.98', 'speed': '46.73', 'time': '04:30'}"
"216{'index': '0.98', 'speed': '46.67', 'time': '04:35'}"
"217{'index': '0.98', 'speed': '46.41', 'time': '04:40'}"
"218{'index': '0.99', 'speed': '45.94', 'time': '04:45'}"
"219{'index': '0.99', 'speed': '45.91', 'time': '04:50'}"
"220{'index': '1.00', 'speed': '45.68', 'time': '04:55'}"
"221{'index': '0.98', 'speed': '46.59', 'time': '05:00'}"
"222{'index': '0.98', 'speed': '46.61', 'time': '05:05'}"
"223{'index': '0.98', 'speed': '46.53', 'time': '05:10'}"
"224{'index': '0.98', 'speed': '46.54', 'time': '05:15'}"
"225{'index': '0.98', 'speed': '46.48', 'time': '05:20'}"
"226{'index': '0.98', 'speed': '46.37', 'time': '05:25'}"
"227{'index': '0.99', 'speed': '46.18', 'time': '05:30'}"
"228{'index': '1.00', 'speed': '45.78', 'time': '05:35'}"
"229{'index': '0.99', 'speed': '45.92', 'time': '05:40'}"
"230{'index': '1.00', 'speed': '45.71', 'time': '05:45'}"
"231{'index': '1.00', 'speed': '45.56', 'time': '05:50'}"
"232{'index': '1.00', 'speed': '45.41', 'time': '05:55'}"
"233{'index': '1.04', 'speed': '43.72', 'time': '06:00'}"
"234{'index': '1.07', 'speed': '42.80', 'time': '06:05'}"
"235{'index': '1.10', 'speed': '41.61', 'time': '06:10'}"
"236{'index': '1.15', 'speed': '39.75', 'time': '06:15'}"
"237{'index': '1.21', 'speed': '37.71', 'time': '06:20'}"
"238{'index': '1.28', 'speed': '35.65', 'time': '06:25'}"
"239{'index': '1.33', 'speed': '34.35', 'time': '06:30'}"
"240{'index': '1.42', 'speed': '32.15', 'time': '06:35'}"
"241{'index': '1.50', 'speed': '30.36', 'time': '06:40'}"
"242{'index': '1.56', 'speed': '29.28', 'time': '06:45'}"
"243{'index': '1.64', 'speed': '27.74', 'time': '06:50'}"
"244{'index': '1.75', 'speed': '26.14', 'time': '06:55'}"
"245{'index': '1.80', 'speed': '25.33', 'time': '07:00'}"
"246{'index': '1.92', 'speed': '23.82', 'time': '07:05'}"
"247{'index': '2.06', 'speed': '22.19', 'time': '07:10'}"
"248{'index': '2.15', 'speed': '21.18', 'time': '07:15'}"
"249{'index': '2.21', 'speed': '20.61', 'time': '07:20'}"
"250{'index': '2.28', 'speed': '19.99', 'time': '07:25'}"
"251{'index': '2.28', 'speed': '19.99', 'time': '07:30'}"
"252{'index': '2.32', 'speed': '19.65', 'time': '07:35'}"
"253{'index': '2.31', 'speed': '19.70', 'time': '07:40'}"
"254{'index': '2.31', 'speed': '19.70', 'time': '07:45'}"
"255{'index': '2.26', 'speed': '20.17', 'time': '07:50'}"
"256{'index': '2.23', 'speed': '20.50', 'time': '07:55'}"
"257{'index': '2.13', 'speed': '21.45', 'time': '08:00'}"
"258{'index': '2.05', 'speed': '22.24', 'time': '08:05'}"
"259{'index': '1.99', 'speed': '22.90', 'time': '08:10'}"
"260{'index': '1.94', 'speed': '23.48', 'time': '08:15'}"
"261{'index': '1.87', 'speed': '24.37', 'time': '08:20'}"
"262{'index': '1.77', 'speed': '25.71', 'time': '08:25'}"
"263{'index': '1.72', 'speed': '26.45', 'time': '08:30'}"
"264{'index': '1.64', 'speed': '27.86', 'time': '08:35'}"
"265{'index': '1.61', 'speed': '28.31', 'time': '08:40'}"
"266{'index': '1.55', 'speed': '29.46', 'time': '08:45'}"
"267{'index': '1.52', 'speed': '30.01', 'time': '08:50'}"
"268{'index': '1.45', 'speed': '31.39', 'time': '08:55'}"
"269{'index': '1.44', 'speed': '31.72', 'time': '09:00'}"
"270{'index': '1.42', 'speed': '32.19', 'time': '09:05'}"
"271{'index': '1.40', 'speed': '32.58', 'time': '09:10'}"
"272{'index': '1.40', 'speed': '32.55', 'time': '09:15'}"
"273{'index': '1.35', 'speed': '33.81', 'time': '09:20'}"
"274{'index': '1.34', 'speed': '34.09', 'time': '09:25'}"
"275{'index': '1.33', 'speed': '34.27', 'time': '09:30'}"
"276{'index': '1.31', 'speed': '34.78', 'time': '09:35'}"
"277{'index': '1.31', 'speed': '34.83', 'time': '09:40'}"
"278{'index': '1.30', 'speed': '35.16', 'time': '09:45'}"
"279{'index': '1.30', 'speed': '35.13', 'time': '09:50'}"
"280{'index': '1.31', 'speed': '34.92', 'time': '09:55'}"
"281{'index': '1.33', 'speed': '34.35', 'time': '10:00'}"
"282{'index': '1.29', 'speed': '35.35', 'time': '10:10'}"
"283{'index': '1.29', 'speed': '35.23', 'time': '10:15'}"
"284{'index': '1.29', 'speed': '35.41', 'time': '10:20'}"
"285{'index': '1.26', 'speed': '36.09', 'time': '10:25'}"
"286{'index': '1.26', 'speed': '36.10', 'time': '10:30'}"
"获取实时道路拥堵指数内容"
"highway_index：1.23"
"general_way_index：1.24"
"lhighway_index：1.40"
"lgeneral_way_index：1.34"
"highway_speed：61.78"
"general_way_speed：36.07"
"highway_week_rate：-0.121"
"general_way_week_rate：-0.075"
"获取实时拥堵里程内容"
"slowly：22.71"
"congest：13.18"
"serious：1.21"
"avg_slowly：54.64"
"avg_congest：52.75"
"avg_serious：14.99"
"slowly_rate：-0.584"
"congest_rate：-0.75"
"serious_rate：-0.919"
"is_work：1"
"获取昨日早晚高峰内容"
"morning_hour：09:50-10:50"
"morning_index：1.35"
"evening_hour：17:05-18:05"
"evening_index：1.62"
"获取全部道路拥堵情况"
"---------------分割线---------------"
"id:12096336427"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:青州路-0"
"speed:14.47"
"yongdu_length:0.34"
"road_type:4"
"roadname:青州路"
"index:2.32"
"index_level:3"
"length:1.61"
"semantic:从西安大路辅路到西环城路，南向北"
"location:125.267292,43.908641"
"---------------分割线---------------"
"id:12096336415"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:西民主大街-1"
"speed:13.81"
"yongdu_length:0.34"
"road_type:4"
"roadname:西民主大街"
"index:2.25"
"index_level:3"
"length:1.52"
"semantic:从康平街到解放大路辅路，东向南"
"location:125.315287,43.895146"
"---------------分割线---------------"
"id:12096336401"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:工农大路-21"
"speed:19.03"
"yongdu_length:0.36"
"road_type:3"
"roadname:工农大路"
"index:2.18"
"index_level:3"
"length:1.80"
"semantic:从解放桥到新民广场，北向南"
"location:125.298679,43.881768"
"---------------分割线---------------"
"id:12096336409"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:亚泰大街-0"
"speed:17.65"
"yongdu_length:0.50"
"road_type:4"
"roadname:亚泰大街"
"index:2.08"
"index_level:3"
"length:3.20"
"semantic:从铁北二路到解放大路高架桥，北向南"
"location:125.344918,43.919027"
"---------------分割线---------------"
"id:12096336410"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:南阳路-0"
"speed:22.99"
"yongdu_length:0.98"
"road_type:4"
"roadname:南阳路"
"index:2.05"
"index_level:3"
"length:5.01"
"semantic:从湖西桥到站前街，东向西"
"location:125.277561,43.882175"
"---------------分割线---------------"
"id:12096336421"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:北安路-2"
"speed:16.61"
"yongdu_length:0.27"
"road_type:4"
"roadname:北安路"
"index:1.90"
"index_level:2"
"length:1.53"
"semantic:从大经路到康平广场，东向西"
"location:125.338349,43.899329"
"---------------分割线---------------"
"id:12096336408"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:新竹路-0"
"speed:20.29"
"yongdu_length:0.35"
"road_type:4"
"roadname:新竹路"
"index:1.87"
"index_level:2"
"length:2.83"
"semantic:从青州路到青普立交桥，西向东"
"location:125.264578,43.918695"
"---------------分割线---------------"
"id:12096336419"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:乐群街-2"
"speed:14.13"
"yongdu_length:0.26"
"road_type:4"
"roadname:乐群街"
"index:1.82"
"index_level:2"
"length:1.95"
"semantic:从自由大路到吉林大路，南向北"
"location:125.396346,43.871369"
"---------------分割线---------------"
"id:12096336402"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:自由大路-0"
"speed:25.23"
"yongdu_length:0.85"
"road_type:3"
"roadname:自由大路"
"index:1.80"
"index_level:2"
"length:9.12"
"semantic:从凌碧桥到吉林大路高架桥，西向东"
"location:125.315936,43.869816"
"---------------分割线---------------"
"id:12096336416"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:一匡街-4"
"speed:22.91"
"yongdu_length:0.64"
"road_type:4"
"roadname:一匡街"
"index:1.73"
"index_level:2"
"length:3.57"
"semantic:从一匡街跨伊通河桥到凯旋路辅路，东向西"
"location:125.365834,43.930286"
"获取高速/快速路拥堵情况"
"---------------分割线---------------"
"id:12096336444"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:卫星路-0-xj20190621"
"speed:54.41"
"yongdu_length:-"
"road_type:2"
"roadname:卫星路"
"index:1.35"
"index_level:1"
"length:7.81"
"semantic:从警官公寓停车场至盛路到卫星立交桥，东向西"
"location:125.396717,43.840138"
"---------------分割线---------------"
"id:12096336429"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:南部快速路-1"
"speed:57.04"
"yongdu_length:-"
"road_type:2"
"roadname:南部快速路"
"index:1.31"
"index_level:1"
"length:9.60"
"semantic:从锦州铁路立式泵到卫星立交桥，东向西"
"location:125.396916,43.840141"
"---------------分割线---------------"
"id:12096336435"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:卫星路-24"
"speed:55.55"
"yongdu_length:0.12"
"road_type:2"
"roadname:卫星路"
"index:1.26"
"index_level:1"
"length:9.09"
"semantic:从前进大街互通立交桥到拉拉屯桥，西向东"
"location:125.30169,43.838682"
"---------------分割线---------------"
"id:12096336438"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:北部快速路-0"
"speed:58.96"
"yongdu_length:-"
"road_type:2"
"roadname:北部快速路"
"index:1.25"
"index_level:1"
"length:4.31"
"semantic:从花莲路到兆祥干调，西向东"
"location:125.293099,43.930479"
"---------------分割线---------------"
"id:12096336432"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:二环路-1"
"speed:63.59"
"yongdu_length:-"
"road_type:2"
"roadname:二环路"
"index:1.24"
"index_level:1"
"length:2.39"
"semantic:从前进大街到宽平大桥，南向北"
"location:125.29506,43.857614"
"---------------分割线---------------"
"id:12096336442"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:南部快速路-0"
"speed:59.17"
"yongdu_length:0.12"
"road_type:2"
"roadname:南部快速路"
"index:1.23"
"index_level:1"
"length:7.80"
"semantic:从前进大街互通立交桥到中东大市场东环路1号门，西向东"
"location:125.30169,43.838682"
"---------------分割线---------------"
"id:12096336430"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:东部快速路-0-xj20190119"
"speed:62.43"
"yongdu_length:-"
"road_type:2"
"roadname:东部快速路"
"index:1.23"
"index_level:1"
"length:11.22"
"semantic:从东荣立交桥到福祉大路立交桥，北向南"
"location:125.382403,43.92286"
"---------------分割线---------------"
"id:12096336136"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:长深高速-1"
"speed:72.06"
"yongdu_length:-"
"road_type:1"
"roadname:长深高速"
"index:1.22"
"index_level:1"
"length:5.31"
"semantic:从西湖大路到后二道河子桥，东向西"
"location:125.182347,43.877549"
"---------------分割线---------------"
"id:12096336439"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:西部快速路-0"
"speed:63.79"
"yongdu_length:-"
"road_type:2"
"roadname:西部快速路"
"index:1.21"
"index_level:1"
"length:14.99"
"semantic:从卫星立交桥到亚泰北街桥，南向北"
"location:125.296485,43.836901"
"---------------分割线---------------"
"id:12096336440"
"time:201910141025"
"citycode:53"
"district_type:0"
"roadsegid:二环路-0"
"speed:64.15"
"yongdu_length:-"
"road_type:2"
"roadname:二环路"
"index:1.21"
"index_level:1"
"length:2.35"
"semantic:从宽平大桥到前进大街，北向南"
"location:125.276835,43.870978"
"获取实时拥堵指数内容"
"index：1.08"
"last_index：1.07"
"week_rate：0.009"
"max_congest_day：20200213"
"max_week_day：4"
"max_index：1.08"
"获取实时拥堵指数变化内容"
"0{'index': '1.10', 'speed': '40.07', 'time': '18:50'}"
"1{'index': '1.10', 'speed': '39.91', 'time': '18:55'}"
"2{'index': '1.09', 'speed': '40.13', 'time': '19:00'}"
"3{'index': '1.10', 'speed': '39.85', 'time': '19:05'}"
"4{'index': '1.10', 'speed': '40.00', 'time': '19:10'}"
"5{'index': '1.09', 'speed': '40.42', 'time': '19:15'}"
"6{'index': '1.09', 'speed': '40.16', 'time': '19:20'}"
"7{'index': '1.09', 'speed': '40.16', 'time': '19:25'}"
"8{'index': '1.08', 'speed': '40.66', 'time': '19:30'}"
"9{'index': '1.09', 'speed': '40.43', 'time': '19:35'}"
"10{'index': '1.07', 'speed': '40.92', 'time': '19:40'}"
"11{'index': '1.06', 'speed': '41.28', 'time': '19:45'}"
"12{'index': '1.07', 'speed': '41.19', 'time': '19:50'}"
"13{'index': '1.07', 'speed': '40.96', 'time': '19:55'}"
"14{'index': '1.08', 'speed': '40.67', 'time': '20:00'}"
"15{'index': '1.08', 'speed': '40.51', 'time': '20:05'}"
