"获取实时拥堵指数内容"
"index：1.87"
"last_index：1.84"
"week_rate：0.016"
"max_congest_day：20191008"
"max_week_day：2"
"max_index：1.97"
"获取实时拥堵指数变化内容"
"0{'index': '1.82', 'speed': '25.04', 'time': '17:10'}"
"104{'index': '1.04', 'speed': '43.67', 'time': '01:50'}"
"105{'index': '1.05', 'speed': '43.46', 'time': '01:55'}"
"106{'index': '1.05', 'speed': '43.32', 'time': '02:00'}"
"107{'index': '1.05', 'speed': '43.43', 'time': '02:05'}"
"108{'index': '1.05', 'speed': '43.59', 'time': '02:10'}"
"109{'index': '1.05', 'speed': '43.39', 'time': '02:15'}"
"110{'index': '1.04', 'speed': '43.84', 'time': '02:20'}"
"111{'index': '1.04', 'speed': '43.94', 'time': '02:25'}"
"112{'index': '1.03', 'speed': '44.20', 'time': '02:30'}"
"113{'index': '1.04', 'speed': '43.99', 'time': '02:35'}"
"114{'index': '1.04', 'speed': '43.77', 'time': '02:40'}"
"115{'index': '1.04', 'speed': '43.86', 'time': '02:45'}"
"116{'index': '1.05', 'speed': '43.58', 'time': '02:50'}"
"117{'index': '1.05', 'speed': '43.23', 'time': '02:55'}"
"118{'index': '1.03', 'speed': '44.10', 'time': '03:00'}"
"119{'index': '1.04', 'speed': '43.81', 'time': '03:05'}"
"120{'index': '1.03', 'speed': '44.44', 'time': '03:10'}"
"121{'index': '1.02', 'speed': '44.90', 'time': '03:15'}"
"122{'index': '1.01', 'speed': '45.00', 'time': '03:20'}"
"123{'index': '1.02', 'speed': '44.68', 'time': '03:25'}"
"124{'index': '1.02', 'speed': '44.91', 'time': '03:30'}"
"125{'index': '1.02', 'speed': '44.81', 'time': '03:35'}"
"126{'index': '1.02', 'speed': '44.53', 'time': '03:40'}"
"127{'index': '1.01', 'speed': '45.07', 'time': '03:45'}"
"128{'index': '1.01', 'speed': '45.33', 'time': '03:50'}"
"129{'index': '1.01', 'speed': '45.30', 'time': '03:55'}"
"130{'index': '0.98', 'speed': '46.58', 'time': '04:00'}"
"131{'index': '0.98', 'speed': '46.68', 'time': '04:05'}"
"132{'index': '0.96', 'speed': '47.29', 'time': '04:10'}"
"133{'index': '0.96', 'speed': '47.28', 'time': '04:15'}"
"134{'index': '0.97', 'speed': '46.87', 'time': '04:20'}"
"135{'index': '0.98', 'speed': '46.48', 'time': '04:25'}"
"136{'index': '0.99', 'speed': '46.03', 'time': '04:30'}"
"137{'index': '0.98', 'speed': '46.47', 'time': '04:35'}"
"138{'index': '0.98', 'speed': '46.33', 'time': '04:40'}"
"139{'index': '0.98', 'speed': '46.56', 'time': '04:45'}"
"140{'index': '0.98', 'speed': '46.42', 'time': '04:50'}"
"141{'index': '0.99', 'speed': '45.96', 'time': '04:55'}"
"142{'index': '0.98', 'speed': '46.73', 'time': '05:00'}"
"143{'index': '0.97', 'speed': '46.92', 'time': '05:05'}"
"144{'index': '0.97', 'speed': '46.79', 'time': '05:10'}"
"145{'index': '0.97', 'speed': '46.83', 'time': '05:15'}"
"146{'index': '0.98', 'speed': '46.72', 'time': '05:20'}"
"147{'index': '0.99', 'speed': '46.27', 'time': '05:25'}"
"148{'index': '0.99', 'speed': '45.94', 'time': '05:30'}"
"149{'index': '0.99', 'speed': '46.13', 'time': '05:35'}"
"150{'index': '0.99', 'speed': '46.17', 'time': '05:40'}"
"151{'index': '0.99', 'speed': '46.18', 'time': '05:45'}"
"152{'index': '1.00', 'speed': '45.72', 'time': '05:50'}"
"153{'index': '1.00', 'speed': '45.47', 'time': '05:55'}"
"154{'index': '1.04', 'speed': '43.83', 'time': '06:00'}"
"155{'index': '1.06', 'speed': '42.92', 'time': '06:05'}"
"156{'index': '1.09', 'speed': '41.68', 'time': '06:10'}"
"157{'index': '1.13', 'speed': '40.30', 'time': '06:15'}"
"158{'index': '1.17', 'speed': '38.91', 'time': '06:20'}"
"159{'index': '1.20', 'speed': '37.88', 'time': '06:25'}"
"160{'index': '1.24', 'speed': '36.67', 'time': '06:30'}"
"161{'index': '1.26', 'speed': '36.09', 'time': '06:35'}"
"162{'index': '1.31', 'speed': '34.91', 'time': '06:40'}"
"163{'index': '1.36', 'speed': '33.47', 'time': '06:45'}"
"164{'index': '1.42', 'speed': '32.15', 'time': '06:50'}"
"165{'index': '1.47', 'speed': '31.09', 'time': '06:55'}"
"166{'index': '1.54', 'speed': '29.66', 'time': '07:00'}"
"167{'index': '1.64', 'speed': '27.81', 'time': '07:05'}"
"168{'index': '1.74', 'speed': '26.25', 'time': '07:10'}"
"169{'index': '1.87', 'speed': '24.41', 'time': '07:15'}"
"170{'index': '1.99', 'speed': '22.89', 'time': '07:20'}"
"171{'index': '2.04', 'speed': '22.41', 'time': '07:25'}"
"172{'index': '2.12', 'speed': '21.53', 'time': '07:30'}"
"173{'index': '2.13', 'speed': '21.45', 'time': '07:35'}"
"174{'index': '2.16', 'speed': '21.16', 'time': '07:40'}"
"175{'index': '2.14', 'speed': '21.31', 'time': '07:45'}"
"176{'index': '2.16', 'speed': '21.14', 'time': '07:50'}"
"177{'index': '2.20', 'speed': '20.71', 'time': '07:55'}"
"178{'index': '2.06', 'speed': '22.20', 'time': '08:00'}"
"179{'index': '2.04', 'speed': '22.32', 'time': '08:05'}"
"180{'index': '2.00', 'speed': '22.76', 'time': '08:10'}"
"181{'index': '2.03', 'speed': '22.50', 'time': '08:15'}"
"182{'index': '1.99', 'speed': '22.98', 'time': '08:20'}"
"183{'index': '1.78', 'speed': '25.68', 'time': '08:30'}"
"184{'index': '1.73', 'speed': '26.32', 'time': '08:35'}"
"185{'index': '1.65', 'speed': '27.64', 'time': '08:40'}"
"186{'index': '1.61', 'speed': '28.32', 'time': '08:45'}"
"187{'index': '1.58', 'speed': '28.83', 'time': '08:50'}"
"188{'index': '1.52', 'speed': '29.95', 'time': '08:55'}"
"189{'index': '1.51', 'speed': '30.17', 'time': '09:00'}"
"190{'index': '1.51', 'speed': '30.28', 'time': '09:05'}"
"191{'index': '1.47', 'speed': '30.99', 'time': '09:10'}"
"192{'index': '1.42', 'speed': '32.07', 'time': '09:15'}"
"193{'index': '1.42', 'speed': '32.19', 'time': '09:20'}"
"194{'index': '1.40', 'speed': '32.62', 'time': '09:25'}"
"195{'index': '1.40', 'speed': '32.64', 'time': '09:30'}"
"196{'index': '1.37', 'speed': '33.35', 'time': '09:35'}"
"197{'index': '1.35', 'speed': '33.79', 'time': '09:40'}"
"198{'index': '1.33', 'speed': '34.40', 'time': '09:45'}"
"199{'index': '1.35', 'speed': '33.89', 'time': '09:50'}"
"200{'index': '1.35', 'speed': '33.69', 'time': '09:55'}"
"201{'index': '1.34', 'speed': '33.91', 'time': '10:00'}"
"202{'index': '1.33', 'speed': '34.40', 'time': '10:05'}"
"203{'index': '1.32', 'speed': '34.63', 'time': '10:10'}"
"204{'index': '1.30', 'speed': '35.16', 'time': '10:25'}"
"205{'index': '1.28', 'speed': '35.51', 'time': '10:30'}"
"206{'index': '1.28', 'speed': '35.64', 'time': '10:35'}"
"207{'index': '1.28', 'speed': '35.68', 'time': '10:40'}"
"208{'index': '1.29', 'speed': '35.30', 'time': '10:45'}"
"209{'index': '1.28', 'speed': '35.55', 'time': '10:50'}"
"210{'index': '1.26', 'speed': '36.13', 'time': '10:55'}"
"211{'index': '1.26', 'speed': '36.06', 'time': '11:00'}"
"212{'index': '1.26', 'speed': '36.13', 'time': '11:05'}"
"213{'index': '1.28', 'speed': '35.70', 'time': '11:10'}"
"214{'index': '1.28', 'speed': '35.62', 'time': '11:15'}"
"215{'index': '1.28', 'speed': '35.75', 'time': '11:20'}"
"216{'index': '1.25', 'speed': '36.55', 'time': '11:30'}"
"217{'index': '1.25', 'speed': '36.56', 'time': '11:35'}"
"218{'index': '1.25', 'speed': '36.55', 'time': '11:40'}"
"219{'index': '1.25', 'speed': '36.55', 'time': '11:45'}"
"220{'index': '1.25', 'speed': '36.47', 'time': '11:50'}"
"221{'index': '1.24', 'speed': '36.70', 'time': '11:55'}"
"222{'index': '1.23', 'speed': '37.10', 'time': '12:00'}"
"223{'index': '1.23', 'speed': '37.19', 'time': '12:05'}"
"224{'index': '1.22', 'speed': '37.48', 'time': '12:10'}"
"225{'index': '1.21', 'speed': '37.72', 'time': '12:15'}"
"226{'index': '1.21', 'speed': '37.67', 'time': '12:20'}"
"227{'index': '1.24', 'speed': '36.73', 'time': '12:25'}"
"228{'index': '1.23', 'speed': '37.01', 'time': '12:30'}"
"229{'index': '1.22', 'speed': '37.56', 'time': '12:35'}"
"230{'index': '1.21', 'speed': '37.65', 'time': '12:40'}"
"231{'index': '1.21', 'speed': '37.60', 'time': '12:45'}"
"232{'index': '1.22', 'speed': '37.56', 'time': '12:50'}"
"233{'index': '1.21', 'speed': '37.76', 'time': '12:55'}"
"234{'index': '1.22', 'speed': '37.53', 'time': '13:00'}"
"235{'index': '1.21', 'speed': '37.68', 'time': '13:05'}"
"236{'index': '1.24', 'speed': '36.78', 'time': '13:20'}"
"237{'index': '1.25', 'speed': '36.61', 'time': '13:25'}"
"238{'index': '1.24', 'speed': '36.85', 'time': '13:30'}"
"239{'index': '1.25', 'speed': '36.52', 'time': '13:35'}"
"240{'index': '1.25', 'speed': '36.48', 'time': '13:40'}"
"241{'index': '1.24', 'speed': '36.67', 'time': '13:45'}"
"242{'index': '1.25', 'speed': '36.62', 'time': '13:50'}"
"243{'index': '1.25', 'speed': '36.52', 'time': '14:00'}"
"244{'index': '1.25', 'speed': '36.56', 'time': '14:05'}"
"245{'index': '1.25', 'speed': '36.60', 'time': '14:10'}"
"246{'index': '1.25', 'speed': '36.58', 'time': '14:15'}"
"247{'index': '1.27', 'speed': '35.91', 'time': '14:20'}"
"248{'index': '1.27', 'speed': '35.89', 'time': '14:25'}"
"249{'index': '1.27', 'speed': '35.91', 'time': '14:30'}"
"250{'index': '1.26', 'speed': '36.06', 'time': '14:35'}"
"251{'index': '1.26', 'speed': '36.20', 'time': '14:45'}"
"252{'index': '1.26', 'speed': '36.23', 'time': '14:50'}"
"253{'index': '1.27', 'speed': '36.01', 'time': '15:00'}"
"254{'index': '1.27', 'speed': '36.02', 'time': '15:05'}"
"255{'index': '1.28', 'speed': '35.63', 'time': '15:10'}"
"256{'index': '1.27', 'speed': '35.77', 'time': '15:15'}"
"257{'index': '1.30', 'speed': '35.07', 'time': '15:20'}"
"258{'index': '1.34', 'speed': '34.14', 'time': '15:30'}"
"259{'index': '1.35', 'speed': '33.90', 'time': '15:35'}"
"260{'index': '1.33', 'speed': '34.23', 'time': '15:45'}"
"261{'index': '1.33', 'speed': '34.39', 'time': '15:50'}"
"262{'index': '1.37', 'speed': '33.35', 'time': '16:00'}"
"263{'index': '1.38', 'speed': '33.06', 'time': '16:05'}"
"264{'index': '1.42', 'speed': '32.13', 'time': '16:20'}"
"265{'index': '1.44', 'speed': '31.65', 'time': '16:25'}"
"266{'index': '1.48', 'speed': '30.93', 'time': '16:30'}"
"267{'index': '1.49', 'speed': '30.53', 'time': '16:35'}"
"268{'index': '1.74', 'speed': '26.19', 'time': '16:45'}"
"269{'index': '1.85', 'speed': '24.67', 'time': '16:50'}"
"270{'index': '1.88', 'speed': '24.23', 'time': '16:55'}"
"271{'index': '1.86', 'speed': '24.49', 'time': '17:00'}"
"272{'index': '1.87', 'speed': '24.43', 'time': '17:05'}"
"获取实时道路拥堵指数内容"
"highway_index：2.49"
"general_way_index：1.92"
"lhighway_index：1.91"
"lgeneral_way_index：1.89"
"highway_speed：30.46"
"general_way_speed：23.30"
"highway_week_rate：0.304"
"general_way_week_rate：0.016"
"获取实时拥堵里程内容"
"slowly：75.90"
"congest：78.59"
"serious：15.23"
"avg_slowly：54.64"
"avg_congest：52.75"
"avg_serious：14.99"
"slowly_rate：0.389"
"congest_rate：0.49"
"serious_rate：0.016"
"is_work：1"
"获取昨日早晚高峰内容"
"morning_hour：07:05-08:05"
"morning_index：2.22"
"evening_hour：17:10-18:10"
"evening_index：2.00"
"获取全部道路拥堵情况"
"---------------分割线---------------"
"id:12124904272"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:二环路-0"
"speed:7.71"
"yongdu_length:2.35"
"road_type:2"
"roadname:二环路"
"index:10.08"
"index_level:4"
"length:2.35"
"semantic:从宽平大桥到前进大街，北向南"
"location:125.276835,43.870978"
"---------------分割线---------------"
"id:12124904021"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:人民大街辅路-0-xj20180908"
"speed:7.50"
"yongdu_length:0.93"
"road_type:3"
"roadname:人民大街辅路"
"index:5.47"
"index_level:4"
"length:1.36"
"semantic:从人民大街路口到南湖大路，北向南"
"location:125.331619,43.868877"
"---------------分割线---------------"
"id:12124904263"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:南部快速路-0-xj20190119"
"speed:14.80"
"yongdu_length:2.12"
"road_type:2"
"roadname:南部快速路"
"index:5.36"
"index_level:4"
"length:2.12"
"semantic:从硅谷大街到卫星立交桥，西向东"
"location:125.278774,43.835915"
"---------------分割线---------------"
"id:12124904042"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:卫明街-1"
"speed:7.96"
"yongdu_length:0.58"
"road_type:4"
"roadname:卫明街"
"index:4.22"
"index_level:4"
"length:1.23"
"semantic:从南环城路到卫星路，南向北"
"location:125.308691,43.827595"
"---------------分割线---------------"
"id:12124903902"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:南四环路-1-xj20181208"
"speed:15.78"
"yongdu_length:1.42"
"road_type:3"
"roadname:南四环路"
"index:4.08"
"index_level:4"
"length:3.55"
"semantic:从南四环路辅路路口到盛世大路，东向西"
"location:125.363751,43.811551"
"---------------分割线---------------"
"id:12124903900"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:永宁路-1"
"speed:12.45"
"yongdu_length:0.69"
"road_type:3"
"roadname:永宁路"
"index:3.79"
"index_level:3"
"length:1.41"
"semantic:从河东路到长白路，东向西"
"location:125.373415,43.915044"
"---------------分割线---------------"
"id:12124904032"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:超胜街-0"
"speed:13.11"
"yongdu_length:0.94"
"road_type:4"
"roadname:超胜街"
"index:3.74"
"index_level:3"
"length:1.82"
"semantic:从锦湖大路辅路到超达大路，南向北"
"location:125.275002,43.794348"
"---------------分割线---------------"
"id:12124904277"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:西部快速路-1"
"speed:21.87"
"yongdu_length:4.84"
"road_type:2"
"roadname:西部快速路"
"index:3.46"
"index_level:3"
"length:14.99"
"semantic:从亚泰北街桥到卫星立交桥，北向南"
"location:125.299457,43.961033"
"---------------分割线---------------"
"id:12124904276"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:卫星路-0-xj20190621"
"speed:22.05"
"yongdu_length:4.71"
"road_type:2"
"roadname:卫星路"
"index:3.33"
"index_level:3"
"length:7.81"
"semantic:从警官公寓停车场至盛路到卫星立交桥，东向西"
"location:125.396717,43.840138"
"---------------分割线---------------"
"id:12124904026"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:人民大街-52"
"speed:12.45"
"yongdu_length:2.32"
"road_type:3"
"roadname:人民大街"
"index:3.16"
"index_level:3"
"length:5.82"
"semantic:从解放大路高架桥到凌碧桥，北向南"
"location:125.331157,43.891398"
"获取高速/快速路拥堵情况"
"---------------分割线---------------"
"id:12124904272"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:二环路-0"
"speed:7.71"
"yongdu_length:2.35"
"road_type:2"
"roadname:二环路"
"index:10.08"
"index_level:4"
"length:2.35"
"semantic:从宽平大桥到前进大街，北向南"
"location:125.276835,43.870978"
"---------------分割线---------------"
"id:12124904263"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:南部快速路-0-xj20190119"
"speed:14.80"
"yongdu_length:2.12"
"road_type:2"
"roadname:南部快速路"
"index:5.36"
"index_level:4"
"length:2.12"
"semantic:从硅谷大街到卫星立交桥，西向东"
"location:125.278774,43.835915"
"---------------分割线---------------"
"id:12124904277"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:西部快速路-1"
"speed:21.87"
"yongdu_length:4.84"
"road_type:2"
"roadname:西部快速路"
"index:3.46"
"index_level:3"
"length:14.99"
"semantic:从亚泰北街桥到卫星立交桥，北向南"
"location:125.299457,43.961033"
"---------------分割线---------------"
"id:12124904276"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:卫星路-0-xj20190621"
"speed:22.05"
"yongdu_length:4.71"
"road_type:2"
"roadname:卫星路"
"index:3.33"
"index_level:3"
"length:7.81"
"semantic:从警官公寓停车场至盛路到卫星立交桥，东向西"
"location:125.396717,43.840138"
"---------------分割线---------------"
"id:12124904267"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:南部快速路-1"
"speed:24.90"
"yongdu_length:4.71"
"road_type:2"
"roadname:南部快速路"
"index:2.99"
"index_level:3"
"length:9.60"
"semantic:从锦州铁路立式泵到卫星立交桥，东向西"
"location:125.396916,43.840141"
"---------------分割线---------------"
"id:12124904259"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:东部快速路-0"
"speed:28.37"
"yongdu_length:2.87"
"road_type:2"
"roadname:东部快速路"
"index:2.78"
"index_level:3"
"length:12.44"
"semantic:从福祉大路立交桥到一匡街跨伊通河桥，南向北"
"location:125.384288,43.823538"
"---------------分割线---------------"
"id:12124904264"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:卫星广场下穿隧道-1"
"speed:25.20"
"yongdu_length:1.51"
"road_type:2"
"roadname:卫星广场下穿隧道"
"index:2.64"
"index_level:3"
"length:1.51"
"semantic:南部快速路附近，东向西"
"location:125.337555,43.838734"
"---------------分割线---------------"
"id:12124904261"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:北部快速路-0"
"speed:29.46"
"yongdu_length:1.16"
"road_type:2"
"roadname:北部快速路"
"index:2.51"
"index_level:3"
"length:4.31"
"semantic:从花莲路到兆祥干调，西向东"
"location:125.293099,43.930479"
"---------------分割线---------------"
"id:12124904271"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:东部快速路-0-xj20190119"
"speed:33.81"
"yongdu_length:2.98"
"road_type:2"
"roadname:东部快速路"
"index:2.27"
"index_level:3"
"length:11.22"
"semantic:从东荣立交桥到福祉大路立交桥，北向南"
"location:125.382403,43.92286"
"---------------分割线---------------"
"id:12124904273"
"time:201910151710"
"citycode:53"
"district_type:0"
"roadsegid:南部快速路-0"
"speed:33.30"
"yongdu_length:3.14"
"road_type:2"
"roadname:南部快速路"
"index:2.18"
"index_level:3"
"length:7.80"
"semantic:从前进大街互通立交桥到中东大市场东环路1号门，西向东"
"location:125.30169,43.838682"
